katalogeintraege_tag,hoschschulfaechersystematik_url
Funktionsintegrierende Kunststofftechnologien,https://w3id.org/kim/hochschulfaechersystematik/n219
Gebäudelehre und Entwerfen,https://w3id.org/kim/hochschulfaechersystematik/n013
Geistes- und Sozialwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n1; https://w3id.org/kim/hochschulfaechersystematik/n26
Generaldirektion,
Geographie,https://w3id.org/kim/hochschulfaechersystematik/n44
Geoinformatik,https://w3id.org/kim/hochschulfaechersystematik/n44; https://w3id.org/kim/hochschulfaechersystematik/n079
Geoinformation,https://w3id.org/kim/hochschulfaechersystematik/n039; https://w3id.org/kim/hochschulfaechersystematik/n280; https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n44; https://w3id.org/kim/hochschulfaechersystematik/n079
Geoinformation & Management,https://w3id.org/kim/hochschulfaechersystematik/n039; https://w3id.org/kim/hochschulfaechersystematik/n280; https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n44; https://w3id.org/kim/hochschulfaechersystematik/n079
Geologie,https://w3id.org/kim/hochschulfaechersystematik/n065
Geophysik und Geoinformatik,https://w3id.org/kim/hochschulfaechersystematik/n066; https://w3id.org/kim/hochschulfaechersystematik/n44; https://w3id.org/kim/hochschulfaechersystematik/n079
Geotechnik,https://w3id.org/kim/hochschulfaechersystematik/n039
Geowissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n039
"Geowissenschaften, Geotechnik und Bergbau",https://w3id.org/kim/hochschulfaechersystematik/n039; https://w3id.org/kim/hochschulfaechersystematik/n020
Germanistik,https://w3id.org/kim/hochschulfaechersystematik/n09; https://w3id.org/kim/hochschulfaechersystematik/n067
Germanistische Sprachwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n09; https://w3id.org/kim/hochschulfaechersystematik/n067
Geschichte,https://w3id.org/kim/hochschulfaechersystematik/n068
Gestaltung von Straßenverkehrsanlagen,https://w3id.org/kim/hochschulfaechersystematik/n089; https://w3id.org/kim/hochschulfaechersystematik/n268
Gesundheits- und Sozialmanagement,https://w3id.org/kim/hochschulfaechersystematik/n232; https://w3id.org/kim/hochschulfaechersystematik/n234; https://w3id.org/kim/hochschulfaechersystematik/n253
Gießerei-Institut,https://w3id.org/kim/hochschulfaechersystematik/n108
Glas und Glastechnologie,https://w3id.org/kim/hochschulfaechersystematik/n216
Graduierten- und Forschungsakademie,
Grundlagen der Elektrotechnik und Elektronik,https://w3id.org/kim/hochschulfaechersystematik/n048
Grundlagen der Elektrotechnik und Halbleiterelektronik,https://w3id.org/kim/hochschulfaechersystematik/n048; https://w3id.org/kim/hochschulfaechersystematik/n157; https://w3id.org/kim/hochschulfaechersystematik/n380
Grundlagen der Gestaltung und Darstellung,https://w3id.org/kim/hochschulfaechersystematik/n76
Grundlagen des Entwerfens,https://w3id.org/kim/hochschulfaechersystematik/n76
Grundschuldidaktik,https://w3id.org/kim/hochschulfaechersystematik/n115
Grundwasserwirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n077
Halbleiter- und Mikrosystemtechnik,https://w3id.org/kim/hochschulfaechersystematik/n048; https://w3id.org/kim/hochschulfaechersystematik/n157; https://w3id.org/kim/hochschulfaechersystematik/n286; https://w3id.org/kim/hochschulfaechersystematik/n380
Handel und Internationales Management,https://w3id.org/kim/hochschulfaechersystematik/n182
Heilpädagogik,https://w3id.org/kim/hochschulfaechersystematik/n195
Hochfrequenztechnik und Theoretische Elektrotechnik,https://w3id.org/kim/hochschulfaechersystematik/n048
Hochschulbibliothek,https://w3id.org/kim/hochschulfaechersystematik/n262; https://w3id.org/kim/hochschulfaechersystematik/n06
Hochschuldidaktische Weiterbildung,https://w3id.org/kim/hochschulfaechersystematik/n321; https://w3id.org/kim/hochschulfaechersystematik/n052
"Hochschulkolleg,  Fremdsprachen und Interkulturalität",https://w3id.org/kim/hochschulfaechersystematik/n004
Höheres   Lehramt an Gymnasien,https://w3id.org/kim/hochschulfaechersystematik/n361
Holztechnik und Faserwerkstofftechnik,https://w3id.org/kim/hochschulfaechersystematik/n082
Human- und Sozialwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n26
Hydrobiologie,https://w3id.org/kim/hochschulfaechersystematik/n026
Hydrologie und Meteorologie,https://w3id.org/kim/hochschulfaechersystematik/n110; https://w3id.org/kim/hochschulfaechersystematik/n077
Hydrowissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n077
Immobilien- und Facilities Management,https://w3id.org/kim/hochschulfaechersystematik/n464
Inclusion Studies,https://w3id.org/kim/hochschulfaechersystematik/n195
Industrial Management,https://w3id.org/kim/hochschulfaechersystematik/n021; https://w3id.org/kim/hochschulfaechersystematik/n182
Industriebau,https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n017
Informatik,https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n71
Informatik und Medien,https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n121
"Informatik, Mathematik und Naturwissenschaften",https://w3id.org/kim/hochschulfaechersystematik/n079; https://w3id.org/kim/hochschulfaechersystematik/n105; https://w3id.org/kim/hochschulfaechersystematik/n36; https://w3id.org/kim/hochschulfaechersystematik/n4
Informationskompetenz,https://w3id.org/kim/hochschulfaechersystematik/n06; https://w3id.org/kim/hochschulfaechersystematik/n262
Informationssysteme in Industrie und Handel,https://w3id.org/kim/hochschulfaechersystematik/n277; https://w3id.org/kim/hochschulfaechersystematik/n184
Informationstechnik,https://w3id.org/kim/hochschulfaechersystematik/n64; https://w3id.org/kim/hochschulfaechersystematik/n222
Informationstechnologie,https://w3id.org/kim/hochschulfaechersystematik/n222
Infrastrukturmanagement,https://w3id.org/kim/hochschulfaechersystematik/n68
Ingenieurpsychologie und angewandte Kognitionsforschung,https://w3id.org/kim/hochschulfaechersystematik/n132
Ingenieurwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n8
Integrierte Managementsysteme / Integriertes Management,https://w3id.org/kim/hochschulfaechersystematik/n182
Integrierte Verkehrsplanung und Straßenverkehrstechnik,https://w3id.org/kim/hochschulfaechersystematik/n268; https://w3id.org/kim/hochschulfaechersystematik/n210; https://w3id.org/kim/hochschulfaechersystematik/n089
International Business,https://w3id.org/kim/hochschulfaechersystematik/n182
Internationale Forst- und Holzwirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n59; https://w3id.org/kim/hochschulfaechersystematik/n058; https://w3id.org/kim/hochschulfaechersystematik/n075
Internationale Politik,https://w3id.org/kim/hochschulfaechersystematik/n25; https://w3id.org/kim/hochschulfaechersystematik/n129
Internationales Management,https://w3id.org/kim/hochschulfaechersystematik/n182
"Internationales Recht, Geistiges Eigentum und Technikrecht",https://w3id.org/kim/hochschulfaechersystematik/n28; https://w3id.org/kim/hochschulfaechersystematik/n135
Internationales Universitätszentrum,
Italienische Literatur,https://w3id.org/kim/hochschulfaechersystematik/n084
Jazz,https://w3id.org/kim/hochschulfaechersystematik/n164; https://w3id.org/kim/hochschulfaechersystematik/n78
Junior-Ingenieur-Akademie,https://w3id.org/kim/hochschulfaechersystematik/n8; https://w3id.org/kim/hochschulfaechersystematik/n61
Kälte-Kryo-Kompressorentechnik,https://w3id.org/kim/hochschulfaechersystematik/n211; https://w3id.org/kim/hochschulfaechersystematik/n104
Kartographie,https://w3id.org/kim/hochschulfaechersystematik/n280
Katholische Theologie,https://w3id.org/kim/hochschulfaechersystematik/n03; https://w3id.org/kim/hochschulfaechersystematik/n086
Kern- und Teilchenphysik,https://w3id.org/kim/hochschulfaechersystematik/n0128
Klassische Philologie,https://w3id.org/kim/hochschulfaechersystematik/n08; https://w3id.org/kim/hochschulfaechersystematik/n005
Klinik,https://w3id.org/kim/hochschulfaechersystematik/n107
Kognitive und Klinische Neurowissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n026; https://w3id.org/kim/hochschulfaechersystematik/n300; https://w3id.org/kim/hochschulfaechersystematik/n132
Kommunikationspsychologie,https://w3id.org/kim/hochschulfaechersystematik/n132
Kommunikationstechnik,https://w3id.org/kim/hochschulfaechersystematik/n200; https://w3id.org/kim/hochschulfaechersystematik/n222
Kommunikationswissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n303
Konstruktions- und Fertigungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n202; https://w3id.org/kim/hochschulfaechersystematik/n63
Kraftfahrzeugtechnik,https://w3id.org/kim/hochschulfaechersystematik/n104
Kraftfahrzeugtechnik   Günther Prokop,https://w3id.org/kim/hochschulfaechersystematik/n104
Kulturwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n14
Kunst,https://w3id.org/kim/hochschulfaechersystematik/n74
Kunst- und Musikwissenschaft,https://w3id.org/kim/hochschulfaechersystematik/n74; https://w3id.org/kim/hochschulfaechersystematik/n78
Kunstgeschichte,https://w3id.org/kim/hochschulfaechersystematik/n092
Kunstpädagogik,https://w3id.org/kim/hochschulfaechersystematik/n091
Labor- und Prozesstechnik,https://w3id.org/kim/hochschulfaechersystematik/n63; https://w3id.org/kim/hochschulfaechersystematik/n226; https://w3id.org/kim/hochschulfaechersystematik/n213
Land- und Ernährungswirtschaft,https://w3id.org/kim/hochschulfaechersystematik/n003; https://w3id.org/kim/hochschulfaechersystematik/n320; https://w3id.org/kim/hochschulfaechersystematik/n7
Landbau,https://w3id.org/kim/hochschulfaechersystematik/n003
Landschaftsarchitektur,https://w3id.org/kim/hochschulfaechersystematik/n093; https://w3id.org/kim/hochschulfaechersystematik/n013
Landschaftsentwicklung,https://w3id.org/kim/hochschulfaechersystematik/n093
Languages and Business,https://w3id.org/kim/hochschulfaechersystematik/n284
Laser- und Oberflächentechnik,https://w3id.org/kim/hochschulfaechersystematik/n202; https://w3id.org/kim/hochschulfaechersystematik/n224
Lebensmittelchemie,https://w3id.org/kim/hochschulfaechersystematik/n096
Lebensmittelsicherheit,
Lehramt,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
Lehramt an berufsbildenden Schulen,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361; https://w3id.org/kim/hochschulfaechersystematik/n270
Lehramt an Grundschulen,https://w3id.org/kim/hochschulfaechersystematik/n115; https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
Lehramt an Gymnasien,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
Lehramt an Mittelschulen,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361
Lehrveranstaltungen  mathematische und Lehramts,https://w3id.org/kim/hochschulfaechersystematik/n052; https://w3id.org/kim/hochschulfaechersystematik/n361; https://w3id.org/kim/hochschulfaechersystematik/n105
Lehrzentrum Sprachen und Kulturräume,https://w3id.org/kim/hochschulfaechersystematik/n090
Luft- und Raumfahrttechnik,https://w3id.org/kim/hochschulfaechersystematik/n057
"Magnetofluiddynamik, Mess- und Automatisierungstechnik",https://w3id.org/kim/hochschulfaechersystematik/n8; https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n048
Makroökonomie,https://w3id.org/kim/hochschulfaechersystematik/n175
Management and Marketing,https://w3id.org/kim/hochschulfaechersystematik/n182; https://w3id.org/kim/hochschulfaechersystematik/n021
Management- und Kulturwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n14; https://w3id.org/kim/hochschulfaechersystematik/n182; https://w3id.org/kim/hochschulfaechersystematik/n021
Marktorientierte Unternehmensführung,https://w3id.org/kim/hochschulfaechersystematik/n021
Maschinenbau,https://w3id.org/kim/hochschulfaechersystematik/n104
Maschinenbau mit Physik,https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n0128
Maschinenbau und Energietechnik,https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n211; https://w3id.org/kim/hochschulfaechersystematik/n316
"Maschinenbau, Verfahrens- und Energietechnik",https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n211; https://w3id.org/kim/hochschulfaechersystematik/n316; https://w3id.org/kim/hochschulfaechersystematik/n63; https://w3id.org/kim/hochschulfaechersystematik/n226
Maschinenelemente und Maschinenkonstruktion,https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n63
Maschinenelemente und Produktentwicklung,https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n203
"Maschinenelemente, Konstruktion und Fertigung",https://w3id.org/kim/hochschulfaechersystematik/n104; https://w3id.org/kim/hochschulfaechersystematik/n63; https://w3id.org/kim/hochschulfaechersystematik/n202
Maschinenwesen,https://w3id.org/kim/hochschulfaechersystematik/n104
Massivbau,https://w3id.org/kim/hochschulfaechersystematik/n68; https://w3id.org/kim/hochschulfaechersystematik/n017
Materialwissenschaft und Nanotechnik,https://w3id.org/kim/hochschulfaechersystematik/n294; https://w3id.org/kim/hochschulfaechersystematik/n0128; https://w3id.org/kim/hochschulfaechersystematik/n032; https://w3id.org/kim/hochschulfaechersystematik/n097
Mathematik,https://w3id.org/kim/hochschulfaechersystematik/n105; https://w3id.org/kim/hochschulfaechersystematik/n37
Mathematik und Informatik,https://w3id.org/kim/hochschulfaechersystematik/n105; https://w3id.org/kim/hochschulfaechersystematik/n079
Mathematik und Naturwissenschaften,https://w3id.org/kim/hochschulfaechersystematik/n4; https://w3id.org/kim/hochschulfaechersystematik/n36; https://w3id.org/kim/hochschulfaechersystematik/n105
Mechanik und Fluiddynamik,https://w3id.org/kim/hochschulfaechersystematik/n8; https://w3id.org/kim/hochschulfaechersystematik/n224; https://w3id.org/kim/hochschulfaechersystematik/n0128; 
Mechanische Verfahrenstechnik und Aufbereitungstechnik,https://w3id.org/kim/hochschulfaechersystematik/n63; https://w3id.org/kim/hochschulfaechersystematik/n226
Mechatroniksysteme und Fahrzeugmechatronik,https://w3id.org/kim/hochschulfaechersystematik/n380; https://w3id.org/kim/hochschulfaechersystematik/n235
Mechatronischen Maschinenbau,https://w3id.org/kim/hochschulfaechersystematik/n380; https://w3id.org/kim/hochschulfaechersystematik/n104
Media Computing,https://w3id.org/kim/hochschulfaechersystematik/n121; https://w3id.org/kim/hochschulfaechersystematik/n305; https://w3id.org/kim/hochschulfaechersystematik/n287
Media- and Acoustical Engineering,https://w3id.org/kim/hochschulfaechersystematik/n305
Medien,https://w3id.org/kim/hochschulfaechersystematik/n302
Medien-Informatik,https://w3id.org/kim/hochschulfaechersystematik/n121
Medieninformatik,https://w3id.org/kim/hochschulfaechersystematik/n121
Medienwissenschaft und Neuere Deutsche Literatur,https://w3id.org/kim/hochschulfaechersystematik/n302; https://w3id.org/kim/hochschulfaechersystematik/n067; https://w3id.org/kim/hochschulfaechersystematik/n09
Medienzentrum,https://w3id.org/kim/hochschulfaechersystematik/n302
Medizin,https://w3id.org/kim/hochschulfaechersystematik/n107
Medizinische Fakultät Carl Gustav Carus,https://w3id.org/kim/hochschulfaechersystematik/n107
Meteorologie,https://w3id.org/kim/hochschulfaechersystematik/n110
